Dimensão Nominal - Acima;Dimensão Nominal - Até e Inclusive;Afastamento Superior;Afastamento Superior;Afastamento Superior;Afastamento Superior;Afastamento Superior;Afastamento Superior;Afastamento Superior;Afastamento Superior;Afastamento Superior;Afastamento Superior;Afastamento Superior;Afastamento Superior;Afastamentos Fundamentais;Afastamentos Fundamentais;Afastamentos Fundamentais;Afastamentos Fundamentais;Afastamentos Fundamentais;Afastamento Inferior;Afastamento Inferior;Afastamento Inferior;Afastamento Inferior;Afastamento Inferior;Afastamento Inferior;Afastamento Inferior;Afastamento Inferior;Afastamento Inferior;Afastamento Inferior;Afastamento Inferior;Afastamento Inferior;Afastamento Inferior;Afastamento Inferior
;;IT01 a IT18;IT01 a IT18;IT01 a IT18;IT01 a IT18;IT01 a IT18;IT01 a IT18;IT01 a IT18;IT01 a IT18;IT01 a IT18;IT01 a IT18;IT01 a IT18;IT01 a IT18;IT5 e IT6;IT7;IT8;IT4 até IT7;Até IT3 (inclusive) e acima de IT7;IT01 a IT18;IT01 a IT18;IT01 a IT18;IT01 a IT18;IT01 a IT18;IT01 a IT18;IT01 a IT18;IT01 a IT18;IT01 a IT18;IT01 a IT18;IT01 a IT18;IT01 a IT18;IT01 a IT18;IT01 a IT18
mm;mm;um;um;um;um;um;um;um;um;um;um;um;um;um;um;um;um;um;um;um;um;um;um;um;um;um;um;um;um;um;um;um
;;a;b;c;cd;d;e;ef;f;fg;g;h;js;j;j;j;k;k;m;n;p;r;s;t;u;v;x;y;z;za;zb;zc
;3;-270;-140;-60;-34;-20;-14;-10;-6;-4;-2;0;;-2;-4;-6;0;0;2;4;6;10;14;;18;;20;;26;32;40;60
3;6;-270;-140;-70;-46;-30;-20;-14;-10;-6;-4;0;;-2;-4;;1;0;4;8;12;15;19;;23;;28;;35;42;50;80
6;10;-280;-150;-80;-56;-40;-25;-18;-13;-8;-5;0;;-2;-5;;1;0;6;10;15;19;23;;28;;34;;42;52;67;97
10;14;-290;-150;-95;;-50;-32;;-16;;-6;0;;-3;-6;;1;0;7;12;18;23;28;;33;;40;;50;64;90;130
14;18;-290;-150;-95;;-50;-32;;-16;;-6;0;;-3;-6;;1;0;7;12;18;23;28;;33;39;45;;60;77;108;150
18;24;-300;-160;-110;;-65;-40;;-20;;-7;0;;-4;-8;;-2;0;8;15;22;28;35;41;41;47;54;63;73;98;136;188
24;30;-300;-160;-110;;-65;-40;;-20;;-7;0;;-4;-8;;-2;0;8;15;22;28;35;41;48;55;64;75;88;118;160;218
30;40;-310;-170;-120;;-80;-50;;-25;;-9;0;;-5;-10;;2;0;9;17;26;34;43;48;60;68;80;94;112;148;200;274
40;50;-320;-180;-130;;-80;-50;;-25;;-9;0;;-5;-10;;2;0;9;17;26;34;43;54;70;81;97;114;136;180;242;325
